"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","MCODE::Clusters (1)","MCODE::Node Status (1)","MCODE::Score (1)","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"1.0","0.0","1.0","0.0","1","1","false","","Unclustered","0.0","ADRB2","1.0","0","1","0","1.0","false","0","ADRB2","0","0.0"
"1.0","0.0","1.0","0.0","1","1","false","","Unclustered","0.0","CHRM1","1.0","0","1","0","1.0","false","0","CHRM1","0","0.0"
"2.148936170212766","0.0","0.4653465346534653","1.0","7","4","false","","Unclustered","7.0","ANLN","24.714285714285715","0","7","0","0.9680851063829787","false","0","ANLN","0","0.726890756302521"
"1.4680851063829787","0.015927783037089298","0.6811594202898551","0.7353846153846154","26","3","false","Cluster 0","Clustered","16.043290043290042","DLGAP5","21.576923076923077","0","26","0","0.9869976359338062","false","0","DLGAP5","300","0.4690635451505017"
"1.6595744680851063","0.0036760543217338225","0.6025641025641025","0.8830409356725146","19","3","false","Cluster 0","Clustered","14.705882352941176","KIF23","23.94736842105263","0","19","0","0.981678486997636","false","0","KIF23","92","0.5442583732057417"
"1.3617021276595744","0.08342031527584462","0.734375","0.556989247311828","31","3","false","Cluster 0","Clustered","16.043290043290042","AURKB","19.0","0","31","0","0.9899527186761229","false","0","AURKB","710","0.421505376344086"
"1.5957446808510638","0.006055845175007434","0.6266666666666667","0.8428571428571429","21","3","false","Cluster 0","Clustered","15.494736842105263","PBK","23.38095238095238","0","21","0","0.9834515366430261","false","0","PBK","122","0.5195767195767196"
"1.4893617021276595","0.0103735341163645","0.6714285714285715","0.7866666666666666","25","3","false","Cluster 0","Clustered","16.043290043290042","TPX2","22.52","0","25","0","0.9864066193853428","false","0","TPX2","244","0.4895652173913044"
"1.5957446808510638","0.004657963242117182","0.6266666666666667","0.8714285714285714","21","3","false","Cluster 0","Clustered","15.410526315789474","KIF4A","23.571428571428573","0","21","0","0.9834515366430261","false","0","KIF4A","116","0.5238095238095238"
"1.3829787234042554","0.06204985288308003","0.7230769230769231","0.5839080459770115","30","3","false","Cluster 0","Clustered","16.043290043290042","TOP2A","19.433333333333334","0","30","0","0.9893617021276595","false","0","TOP2A","664","0.42246376811594205"
"2.0638297872340425","0.0","0.4845360824742268","1.0","4","3","false","","Unclustered","4.0","TRIP13","31.25","0","4","0","0.9704491725768322","false","0","TRIP13","0","0.78125"
"1.872340425531915","0.011200778869604031","0.5340909090909091","0.6","11","3","false","","Unclustered","6.805555555555555","CDC6","20.727272727272727","0","11","0","0.9757683215130023","false","0","CDC6","98","0.4935064935064935"
"1.8297872340425532","5.441584589432443E-5","0.5465116279069767","0.989010989010989","14","3","false","Cluster 0","Clustered","12.876190476190477","NCAPH","25.857142857142858","0","14","0","0.976950354609929","false","0","NCAPH","2","0.6306620209059234"
"1.553191489361702","0.01814287513359707","0.6438356164383562","0.83399209486166","23","3","false","Cluster 0","Clustered","16.043290043290042","NDC80","23.0","0","23","0","0.9846335697399528","false","0","NDC80","182","0.5111111111111111"
"1.2340425531914894","0.19284605046697417","0.8103448275862069","0.43333333333333335","36","2","false","Cluster 0","Clustered","16.043290043290042","CCNA2","16.916666666666668","0","36","0","0.9934988179669032","false","0","CCNA2","1246","0.3671497584541063"
"2.0851063829787235","0.0","0.47959183673469385","1.0","5","3","false","","Unclustered","5.0","CDCA5","28.0","0","5","0","0.9698581560283688","false","0","CDCA5","0","0.7368421052631579"
"1.446808510638298","0.02015061805227328","0.6911764705882353","0.698005698005698","27","3","false","Cluster 0","Clustered","16.043290043290042","BUB1B","21.296296296296298","0","27","0","0.9875886524822695","false","0","BUB1B","326","0.46296296296296297"
"1.3617021276595744","0.05370699334235619","0.734375","0.593103448275862","30","2","false","Cluster 0","Clustered","16.043290043290042","CCNB2","19.7","0","30","0","0.9899527186761229","false","0","CCNB2","646","0.41914893617021276"
"1.4893617021276595","0.05751979939817505","0.6714285714285715","0.6231884057971014","24","2","false","Cluster 0","Clustered","14.473684210526315","PLK1","20.666666666666668","0","24","0","0.9864066193853428","false","0","PLK1","626","0.4483695652173913"
"1.5106382978723405","0.08564703755360929","0.6619718309859155","0.7137681159420289","24","3","false","Cluster 0","Clustered","15.238095238095237","BIRC5","21.625","0","24","0","0.9858156028368794","false","0","BIRC5","642","0.4701086956521739"
"1.9787234042553192","0.0","0.5053763440860215","1.0","7","3","false","","Unclustered","7.0","CDKN3","29.285714285714285","0","7","0","0.9728132387706856","false","0","CDKN3","0","0.7142857142857143"
"2.0425531914893615","0.0","0.48958333333333337","1.0","4","3","false","","Unclustered","4.0","UHRF1","32.0","0","4","0","0.9710401891252955","false","0","UHRF1","0","0.7804878048780488"
"1.6382978723404256","7.783949225697065E-4","0.6103896103896104","0.9473684210526315","20","3","false","Cluster 0","Clustered","15.238095238095237","NEK2","24.6","0","20","0","0.9822695035460993","false","0","NEK2","28","0.5590909090909091"
"1.6595744680851063","0.0011090186771745242","0.6025641025641025","0.9477124183006536","18","3","false","Cluster 0","Clustered","16.0","HJURP","25.0","0","18","0","0.981678486997636","false","0","HJURP","34","0.5555555555555556"
"1.8085106382978724","0.02086877294451005","0.5529411764705883","0.5604395604395604","14","3","false","","Unclustered","9.0","CDC45","20.428571428571427","0","14","0","0.9775413711583923","false","0","CDC45","254","0.48639455782312924"
